Gene_id	Percent_A7	Percent_E5	Percent_B11	MaxRedPercentDif	MeanRedPercent	MaxRedPercent	Interval	areaFC	area_A7	area_E5	area_B11	MaxArea	MinArea	MeanPercent	rel_A7	rel_E5	rel_B11	Chrom	Start	Stop	Type	Strand	Name	Annot	Is_tRNA	Gene_name	Family	SubFamily	Label	Family_Grouped	Variant	Gam_specific	Difpeaks_12B_10G	Difpeaks_A7_E5	Difpeaks_A7_B11	Difpeaks_E5_B11
1396.pre-tRNA-Pro-1	70.16791711325473	74.31225437656306	52.42943908538764	21.88281529117542	65.63653685840181	74.31225437656306	Left	1.4142375607095186	19.8389525679107	35.842369044582	14.6995175119747	35.842369044582	14.6995175119747	NA	min	max	min	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A-type_18S:rRNA	99.98213647731332	99.91068238656663	99.96427295462665	0.07145409074668407	99.9523639395022	99.98213647731332	Right	0.6485401363000803	11.4412074676208	21.136882505307	19.1177765369997	21.136882505307	11.4412074676208	NA	min	max	max	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A-type_28S:rRNA	100	100	100	0	100	100	Right	0.6842351184404415	15.6339854764428	25.8633004971274	22.243326283795	25.8633004971274	15.6339854764428	NA	min	max	mid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BSD	78.22436584494461	89.19256877456235	32.88674526616649	56.305823508395854	66.76789329522448	89.19256877456235	Left	2.98085319568404	62.8456535551557	74.6768618938262	30.1131066183498	74.6768618938262	30.1131066183498	NA	max	max	min	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cas9	8.717399071096821	8.878170775276885	7.663451232583066	1.2147195426938193	8.41967369298559	8.878170775276885	Left	0.6463725315268368	10.1780341658432	7.37503923257679	17.038308578903	17.038308578903	7.37503923257679	NA	min	min	max	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CsA	2.679528403001072	0.23222579492675954	0.08931761343336907	2.590210789567703	1.0003572704537336	2.679528403001072	Mid	0.11478448002074713	4.22029339179304	2.50426541548287	2.84370632007728	4.22029339179304	2.50426541548287	NA	max	min	min	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDdomain	1.143265451947124	0.5894962486602359	0.7502679528403001	0.5537692032868881	0.82767655114922	1.143265451947124	Left	1.0114436429953004	2.65221968992094	0.64944690865246	15.7705293714322	15.7705293714322	0.64944690865246	NA	min	min	max	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DiCre	4.715969989281887	3.6262951053947843	3.0725259021078957	1.6434440871739913	3.8049303322615224	4.715969989281887	Left	0.6077219939965706	7.76375272904097	16.8491965392897	13.1009920299776	16.8491965392897	7.76375272904097	NA	min	max	mid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DsRed	54.733833511968555	39.12111468381565	38.781707752768845	15.95212575919971	44.21221864951768	54.733833511968555	Left	0.36618702367078265	8.08708945729218	4.6734212917294	10.1479172956076	10.1479172956076	4.6734212917294	NA	mid	min	max	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eGFP_mut2	5.57341907824223	6.520185780635941	7.288317256162916	1.714898177920686	6.460640705013696	7.288317256162916	Left	1.0199129847350537	5.36907524272187	4.96366365011295	20.211362771902	20.211362771902	4.96366365011295	NA	min	min	max	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eYFP	13.004644515898537	12.843872811718471	19.703465523401213	6.859592711682742	15.18399428367274	19.703465523401213	Left	1.3195477240933247	24.8823931039658	23.5259441936818	43.253182668877	43.253182668877	23.5259441936818	NA	min	min	max	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FKBP	2.1793497677742053	4.787424080028582	2.1078956770275097	2.679528403001072	3.024889841610099	4.787424080028582	Mid	1.20277919941555	3.64132008058343	18.2624346981013	21.6228691118459	21.6228691118459	3.64132008058343	NA	min	max	max	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fluciferase	18.863879957127548	14.86245087531261	17.881386209360485	4.001429081814937	17.20257234726688	18.863879957127548	Right	0.40139376813182687	12.894452164382	6.89361533081119	7.76013047365453	12.894452164382	6.89361533081119	NA	max	min	min	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GFP	1.822079314040729	1.5541264737406217	2.4473026080743123	0.8931761343336906	1.941169465285221	2.4473026080743123	Left	1.2639131647116857	7.3937422736515	3.5058031617496	22.4013049741893	22.4013049741893	3.5058031617496	NA	min	min	max	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
