"","Gene_id","Percent_12B","Percent_10G","Percent_3D7B","Percent_B11","Percent_A7","Percent_E5","MaxRedPercentDif","MeanRedPercent","MaxRedPercent","Interval","areaFC","area_12B","area_10G","area_3D7B","area_B11","area_A7","area_E5","MaxArea","MinArea","MeanPercent","rel_12B","rel_10G","rel_3D7B","rel_B11","rel_A7","rel_E5","Chrom","Start","Stop","Type","Strand","Name","Annot","Is_tRNA","Gene_name","Family","SubFamily","Label","Family_Grouped","Variant","Gam_specific","Difpeaks_12B_10G","Difpeaks_A7_E5","Difpeaks_A7_B11","Difpeaks_E5_B11","state_12B","state_10G","state_3D7B","state_B11","state_A7","state_E5","category_12B","category_10G","category_3D7B","category_B11","category_A7","category_E5"
"1","mal_mito_3",96.0466004583652,98.4721161191749,97.8800611153552,99.0641711229947,99.0641711229947,99.0641711229947,3.01757066462949,98.2652151769799,99.0641711229947,"Left",0.388105977923598,30.5924955222685,25.3724701191961,25.4846340009129,NA,NA,NA,30.5924955222685,25.3724701191961,92.5685110839588,"max","min","min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not_Settable","Not_Settable","Not_Settable","Not_Settable","Not_Settable","Not_Settable","No_Category","No_Category","No_Category","No_Category","No_Category","No_Category"
"2","PF3D7_0100100",5.69136745607334,10.9625668449198,11.1153552330023,11.9747899159664,13.3880825057296,11.7456073338426,7.69671504965623,10.8129615482557,13.3880825057296,"Left",1.9672203486309,31.7699764418334,43.7135027661779,38.2983891982238,17.2543890770923,20.7941834562312,20.2970043874903,43.7135027661779,17.2543890770923,21.6944492930703,"mid","max","max","min","min","min","Pf3D7_01_v3",29509,37126,"protein_coding_gene","+","VAR","erythrocyte membrane protein 1, PfEMP1",FALSE,"VAR","VAR","var_UPSB1","PF3D7_0100100: VAR","VAR",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"3","PF3D7_0100200",29.755538579068,4.01069518716578,19.9006875477464,95.0152788388082,97.192513368984,92.436974789916,93.1818181818182,56.3852813852814,97.192513368984,"Left",4.49441795964592,61.6285305095645,29.4897872509127,54.4167884745404,2.60246750441635,2.30219561097855,1.17860895232682,61.6285305095645,1.17860895232682,16.4142956886019,"max","mid","max","min","min","min","Pf3D7_01_v3",38981,40207,"protein_coding_gene","-","RIF","rifin",FALSE,"RIF","RIFIN","rifA","PF3D7_0100200: RIF","RIFIN",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Var_Active_FC","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC","Var_Repressed_FC","Var_Repressed_FC","Var_Active","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"4","PF3D7_0100300",12.5668449197861,12.987012987013,81.340718105424,99.083269671505,99.083269671505,99.083269671505,86.5164247517189,67.3573975044563,99.083269671505,"Left",3.39576566567848,31.789079679636,33.0739571308899,77.4621278830115,NA,NA,NA,77.4621278830115,31.789079679636,7.49694536568337,"min","min","max",NA,NA,NA,"Pf3D7_01_v3",42366,46507,"protein_coding_gene","-","VAR","erythrocyte membrane protein 1, PfEMP1",FALSE,"VAR","VAR","var_UPSA3","PF3D7_0100300: VAR","VAR",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Active_FC","Not_Settable","Not_Settable","Not_Settable","Var_Repressed","Var_Repressed","Var_Active","No_Category","No_Category","No_Category"
"5","PF3D7_0100400",9.89304812834225,1.05042016806723,8.05958747135218,3.91520244461421,8.05958747135218,5.00381970970206,8.84262796027502,5.99694423223835,9.89304812834225,"Left",3.99767865337322,23.218461307534,7.70683224658452,35.5095350214706,1.42290737861462,55.1916852664844,38.8563645295584,55.1916852664844,1.42290737861462,14.6076976784779,"mid","min","mid","min","max","max","Pf3D7_01_v3",50362,51636,"protein_coding_gene","+","RIF","rifin",FALSE,"RIF","RIFIN","rifA","PF3D7_0100400: RIF","RIFIN",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"6","PF3D7_0100600",0.229182582123759,0.439266615737204,0.238731856378915,2.92207792207792,2.00534759358289,1.83346065699007,2.69289533995416,1.27801120448179,2.92207792207792,"Right",1.17910462364651,NA,NA,NA,47.7425905503507,37.7136596378205,31.8836333623051,47.7425905503507,31.8836333623051,4.78923023215221,NA,NA,NA,"max","mid","min","Pf3D7_01_v3",53777,55006,"protein_coding_gene","-","RIF","rifin",FALSE,"RIF","RIFIN","rifB","PF3D7_0100600: RIF","RIFIN",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"7","PF3D7_0100800",0.993124522536287,0.439266615737204,1.39419404125286,0.515660809778457,0.974025974025974,0.324675324675325,1.06951871657754,0.773491214667685,1.39419404125286,"Left",2.46103824905843,4.07877703599004,NA,3.77753613140434,23.5590662085923,25.7114362547277,36.8785005812402,36.8785005812402,3.77753613140434,3.72447198463955,"min",NA,"min","mid","mid","max","Pf3D7_01_v3",59771,61003,"protein_coding_gene","+","RIF","rifin",FALSE,"RIF","RIFIN","rifA","PF3D7_0100800: RIF","RIFIN",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"8","PF3D7_0100900",12.0893812070283,13.6554621848739,12.987012987013,15.9090909090909,17.7616501145913,20.4354469060351,8.34606569900687,15.4730073847721,20.4354469060351,"Left",2.5572376506316,34.4936789906731,32.7909245638597,46.0901928314095,11.6953464304145,22.133192650424,22.0017179156226,46.0901928314095,11.6953464304145,7.89841159015535,"mid","mid","max","min","min","min","Pf3D7_01_v3",62186,63400,"protein_coding_gene","-","RIF","rifin",FALSE,"RIF","RIFIN","rifA","PF3D7_0100900: RIF","RIFIN",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"9","PF3D7_0101000",8.17417876241406,8.72803666921314,9.47288006111535,0.362872421695951,0.916730328495034,1.14591291061879,9.1100076394194,4.80010185892539,9.47288006111535,"Left",3.49249669129399,57.738766280927,59.5610943005497,71.1266565067765,24.1525760088724,43.7414562298366,51.1094288357818,71.1266565067765,24.1525760088724,2.35425030546343,"max","max","max","min","mid","mid","Pf3D7_01_v3",65816,66989,"protein_coding_gene","-","RIF","rifin",FALSE,"RIF","RIFIN","rifA","PF3D7_0101000: RIF","RIFIN",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"10","PF3D7_0101300",7.63941940412529,6.30252100840336,22.5171886936593,2.15813598166539,10.0267379679144,21.8105423987777,20.3590527119939,11.7424242424242,22.5171886936593,"Left",4.17768232786597,48.7354925155961,48.8980336835859,75.1349660150808,22.3598965310156,70.9686563605478,78.5497238408129,78.5497238408129,22.3598965310156,31.1769069645662,"mid","mid","max","min","max","max","Pf3D7_01_v3",74294,75622,"protein_coding_gene","+","MC-2TM","Pfmc-2TM Maurer's cleft two transmembrane protein",FALSE,"MC-2TM","PFMC-2TM","pfmc-2tm","PF3D7_0101300: MC-2TM","PFMC-2TM",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
