"","Gene_id","Variant","Percent_12B","Percent_10G","Percent_3D7B","Percent_B11","MaxRedPercentDif","MeanRedPercent","MaxRedPercent","Interval","areaFC","area_12B","area_10G","area_3D7B","area_B11","MaxArea","MinArea","MeanPercent","rel_12B","rel_10G","rel_3D7B","rel_B11","Gene_name","Annot","state_12B","state_10G","state_3D7B","state_B11","category_12B","category_10G","category_3D7B","category_B11"
"1","PF3D7_0100100",TRUE,5.69136745607334,10.9625668449198,11.1153552330023,11.9747899159664,6.28342245989305,9.93601986249045,11.9747899159664,"Left",1.9672203486309,31.7699764418334,43.7135027661779,38.2983891982238,17.2543890770923,43.7135027661779,17.2543890770923,21.6944492930703,"mid","max","max","min","VAR","erythrocyte membrane protein 1, PfEMP1","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"2","PF3D7_0100200",TRUE,29.755538579068,4.01069518716578,19.9006875477464,95.0152788388082,91.0045836516425,37.1705500381971,95.0152788388082,"Left",4.38855487027124,61.6285305095645,29.4897872509127,54.4167884745404,2.60246750441635,61.6285305095645,2.60246750441635,16.4142956886019,"max","mid","max","min","RIF","rifin","Var_Active_FC","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC","Var_Active","Var_Repressed","Var_Repressed","Var_Repressed"
"3","PF3D7_0100300",TRUE,12.5668449197861,12.987012987013,81.340718105424,99.083269671505,86.5164247517189,51.494461420932,99.083269671505,"Left",3.39576566567848,31.789079679636,33.0739571308899,77.4621278830115,NA,77.4621278830115,31.789079679636,7.49694536568337,"min","min","max",NA,"VAR","erythrocyte membrane protein 1, PfEMP1","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Active_FC","Not_Settable","Var_Repressed","Var_Repressed","Var_Active","No_Category"
"4","PF3D7_0100400",TRUE,9.89304812834225,1.05042016806723,8.05958747135218,3.91520244461421,8.84262796027502,5.72956455309397,9.89304812834225,"Left",2.53432175783316,23.218461307534,7.70683224658452,35.5095350214706,1.42290737861462,35.5095350214706,1.42290737861462,14.6076976784779,"mid","min","max","min","RIF","rifin","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"5","PF3D7_0100500",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9758247512655,NA,NA,NA,NA,"null","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene","Not_Settable","Not_Settable","Not_Settable","Not_Settable","No_Category","No_Category","No_Category","No_Category"
"6","PF3D7_0100600",TRUE,0.229182582123759,0.439266615737204,0.238731856378915,2.92207792207792,2.69289533995416,0.95731474407945,2.92207792207792,"Left",0,NA,NA,NA,52.6405258165833,52.6405258165833,52.6405258165833,4.78923023215221,NA,NA,NA,"mid","RIF","rifin","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed_noFC","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"7","PF3D7_0100700",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96744632571129,NA,NA,NA,NA,"null","Plasmodium exported protein, unknown function, fragment","Not_Settable","Not_Settable","Not_Settable","Not_Settable","No_Category","No_Category","No_Category","No_Category"
"8","PF3D7_0100800",TRUE,0.993124522536287,0.439266615737204,1.39419404125286,0.515660809778457,0.954927425515661,0.835561497326203,1.39419404125286,"Left",1.47074573064595,4.07877703599004,NA,3.77753613140434,23.5590662085923,23.5590662085923,3.77753613140434,3.72447198463955,"min",NA,"min","max","RIF","rifin","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"9","PF3D7_0100900",TRUE,12.0893812070283,13.6554621848739,12.987012987013,15.9090909090909,3.81970970206264,13.6602368220015,15.9090909090909,"Left",2.5572376506316,34.4936789906731,32.7909245638597,46.0901928314095,11.6953464304145,46.0901928314095,11.6953464304145,7.89841159015535,"mid","mid","max","min","RIF","rifin","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
"10","PF3D7_0101000",TRUE,8.17417876241406,8.72803666921314,9.47288006111535,0.362872421695951,9.1100076394194,6.68449197860963,9.47288006111535,"Left",3.49249669129399,57.738766280927,59.5610943005497,71.1266565067765,24.1525760088724,71.1266565067765,24.1525760088724,2.35425030546343,"max","max","max","min","RIF","rifin","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed_FC_noredpcnt","Var_Repressed","Var_Repressed","Var_Repressed","Var_Repressed"
