Gene_id	Variant	Percent_12B	Percent_10G	Percent_3D7B	MaxRedPercentDif	MeanRedPercent	MaxRedPercent	Interval	areaFC	area_12B	area_10G	area_3D7B	MaxArea	MinArea	MeanPercent	rel_12B	rel_10G	rel_3D7B	Gene_name	Annot	state_12B	state_10G	state_3D7B	category_12B	category_10G	category_3D7B
PF3D7_0100100	TRUE	5.691367456073339	10.962566844919785	11.115355233002292	5.4239877769289535	9.256429844665139	11.115355233002292	Left	0.887994522256097	31.7699764418334	43.7135027661779	38.2983891982238	43.7135027661779	31.7699764418334	21.694449293070342	min	max	mid	VAR	erythrocyte membrane protein 1, PfEMP1	CVG_Repressed_noFC	CVG_Repressed_noFC	CVG_Repressed_noFC	CVG_Repressed	CVG_Repressed	CVG_Repressed
PF3D7_0100200	TRUE	29.75553857906799	4.0106951871657754	19.900687547746372	25.744843391902215	17.888973771326715	29.75553857906799	Right	3.5015561607270422	52.3331959242033	5.23726556242459	43.0246037462164	52.3331959242033	5.23726556242459	16.41429568860185	max	min	max	RIF	rifin	CVG_Active_FC	CVG_Repressed_FC	CVG_Active_FC	CVG_Active	CVG_Repressed	CVG_Active
PF3D7_0100300	TRUE	12.566844919786096	12.987012987012985	81.34071810542399	68.7738731856379	35.63152533740769	81.34071810542399	Left	3.3957656656784763	31.789079679636	33.0739571308899	77.4621278830115	77.4621278830115	31.789079679636	7.496945365683366	min	min	max	VAR	erythrocyte membrane protein 1, PfEMP1	CVG_Repressed_FC	CVG_Repressed_FC	CVG_Active_FC	CVG_Repressed	CVG_Repressed	CVG_Active
PF3D7_0100400	TRUE	9.893048128342247	1.050420168067227	8.059587471352177	8.84262796027502	6.334351922587217	9.893048128342247	Left	2.0671154479469203	23.218461307534	7.70683224658452	35.5095350214706	35.5095350214706	7.70683224658452	14.607697678477919	mid	min	max	RIF	rifin	CVG_Repressed_FC_reddown	CVG_Repressed_FC_reddown	CVG_Repressed_FC_reddown	CVG_Repressed	CVG_Repressed	CVG_Repressed
PF3D7_0100500	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.975824751265492	NA	NA	NA	null	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	Not_Settable	Not_Settable	Not_Settable	Not_Settable	Not_Settable	Not_Settable
PF3D7_0100600	TRUE	0.2291825821237586	0.439266615737204	0.2387318563789152	0.21008403361344538	0.3023936847466259	0.439266615737204	No Data	NA	NA	NA	NA	NA	NA	4.7892302321522084	NA	NA	NA	RIF	rifin	CVG_Repressed_FCna	CVG_Repressed_FCna	CVG_Repressed_FCna	CVG_Repressed	CVG_Repressed	CVG_Repressed
PF3D7_0100700	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.967446325711293	NA	NA	NA	null	Plasmodium exported protein, unknown function, fragment	Not_Settable	Not_Settable	Not_Settable	Not_Settable	Not_Settable	Not_Settable
PF3D7_0100800	TRUE	0.9931245225362872	0.439266615737204	1.3941940412528648	0.9549274255156608	0.9421950598421187	1.3941940412528648	No Data	NA	NA	NA	NA	NA	NA	3.7244719846395533	NA	NA	NA	RIF	rifin	CVG_Repressed_FCna	CVG_Repressed_FCna	CVG_Repressed_FCna	CVG_Repressed	CVG_Repressed	CVG_Repressed
PF3D7_0100900	TRUE	12.089381207028266	13.655462184873949	12.987012987012985	1.566080977845683	12.910618792971734	13.655462184873949	Left	0.98879317974348	34.4936789906731	32.7909245638597	46.0901928314095	46.0901928314095	32.7909245638597	7.89841159015535	min	min	max	RIF	rifin	CVG_Repressed_noFC	CVG_Repressed_noFC	CVG_Repressed_noFC	CVG_Repressed	CVG_Repressed	CVG_Repressed
PF3D7_0101000	TRUE	8.174178762414057	8.72803666921314	9.472880061115355	1.2987012987012978	8.79169849758085	9.472880061115355	Left	0.9953821729256132	57.738766280927	59.5610943005497	71.1266565067765	71.1266565067765	57.738766280927	2.354250305463432	min	min	max	RIF	rifin	CVG_Repressed_noFC	CVG_Repressed_noFC	CVG_Repressed_noFC	CVG_Repressed	CVG_Repressed	CVG_Repressed
